step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis
1,16,16,0.0,,,,
2,16,16,0.0,,,,
3,13,13,0.0,,,,
4,15,15,0.0,,,,
5,16,16,0.0,,,,
6,16,16,0.0,,,,
7,16,16,0.0,,,,
8,15,15,0.0,,,,
9,13,13,0.0,,,,
10,14,14,0.0,,,,
11,16,16,0.0,,,,
12,13,13,0.0,,,,
13,14,25,1.5,,4.5,,
14,16,16,0.0,,,,
15,15,15,0.0,,,,
16,15,15,0.0,,,,
17,14,14,0.0,,,,
18,15,15,0.0,,,,
19,12,12,0.0,,,,
20,14,14,0.0,,,,
21,16,16,0.0,,,,
22,13,13,0.0,,,,
23,16,16,0.0,,,,
24,13,13,0.0,,,,
25,16,16,0.0,,,,
26,16,16,0.0,,,,
27,16,16,0.0,,,,
28,13,13,0.0,,,,
29,12,12,0.0,,,,
30,15,15,0.0,,,,
