step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis
1,22,2521,0.0,-0.00847457627118644,0.15197265346816693,1.6443440018236788,0.7156110863896274
2,21,777,0.0,0.0,0.0,0.0,0.0
3,21,336,0.0,0.0,0.0,0.0,0.0
4,21,21,0.0,,,,
5,21,231,0.0,0.0,0.0,0.0,0.0
6,21,420,0.0,0.0,0.0,0.0,0.0
7,21,126,0.0,0.0,0.0,0.0,0.0
8,21,567,0.0,0.0,0.0,0.0,0.0
9,21,42,0.0,0.0,0.0,,
10,21,105,0.0,0.0,0.0,0.0,0.0
11,21,420,0.0,0.0,0.0,0.0,0.0
12,21,105,0.0,0.0,0.0,0.0,0.0
13,21,42,0.0,0.0,0.0,,
14,21,21,0.0,,,,
15,21,84,0.0,0.0,0.0,0.0,0.0
16,21,42,0.0,0.0,0.0,,
17,21,42,0.0,0.0,0.0,,
18,21,42,0.0,0.0,0.0,,
19,21,21,0.0,,,,
20,21,63,0.0,0.0,0.0,0.0,
21,21,63,0.0,0.0,0.0,0.0,
22,21,105,0.0,0.0,0.0,0.0,0.0
23,21,63,0.0,0.0,0.0,0.0,
24,21,21,0.0,,,,
25,21,63,0.0,0.0,0.0,0.0,
26,21,63,0.0,0.0,0.0,0.0,
27,21,84,0.0,0.0,0.0,0.0,0.0
28,21,21,0.0,,,,
29,21,21,0.0,,,,
30,21,21,0.0,,,,
31,21,63,0.0,0.0,0.0,0.0,
32,21,21,0.0,,,,
33,21,21,0.0,,,,
34,21,21,0.0,,,,
35,21,21,0.0,,,,
36,21,21,0.0,,,,
37,21,21,0.0,,,,
38,21,21,0.0,,,,
39,21,21,0.0,,,,
40,21,63,0.0,0.0,0.0,0.0,
41,21,21,0.0,,,,
42,25,236,0.5,-0.75,0.9333333333333333,-0.8132915520820657,-0.02186588921282162
43,21,42,0.0,0.0,0.0,,
44,22,87,0.5,0.0,0.25,-1.9999999999999998,4.0
45,27,314,0.6,-2.0,4.9743589743589745,-0.3870139765402943,-1.2841486391172867
46,21,21,0.0,,,,
