step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis,mean_temperature,max_temperature,temperature_variance
1,6,144,0.0,0.0,0.0,0.0,0.0,9.041666666666666,10,0.041666666666666664
2,6,510,0.0,0.0,0.0,0.0,0.0,9.047058823529412,10,0.045378151260504186
3,6,78,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
4,6,48,0.0,0.0,0.0,0.0,0.0,9.125,10,0.125
5,6,18,0.0,0.0,0.0,0.0,,9.0,9,0.0
6,6,108,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
7,6,60,0.0,0.0,0.0,0.0,0.0,9.1,10,0.09999999999999999
8,6,54,0.0,0.0,0.0,0.0,0.0,9.11111111111111,10,0.11111111111111112
9,6,36,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
10,6,48,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
11,6,24,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
12,6,18,0.0,0.0,0.0,0.0,,9.0,9,0.0
13,6,6,0.0,0.0,,,,9.0,9,
14,6,18,0.0,0.0,0.0,0.0,,9.0,9,0.0
15,6,6,0.0,0.0,,,,10.0,10,
16,6,12,0.0,0.0,0.0,,,9.0,9,0.0
17,6,30,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
18,6,18,0.0,0.0,0.0,0.0,,9.0,9,0.0
19,6,12,0.0,0.0,0.0,,,9.0,9,0.0
20,6,12,0.0,0.0,0.0,,,9.0,9,0.0
21,6,12,0.0,0.0,0.0,,,9.0,9,0.0
22,6,6,0.0,0.0,,,,9.0,9,
23,6,12,0.0,0.0,0.0,,,9.0,9,0.0
24,6,24,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
25,6,54,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
26,6,6,0.0,0.0,,,,9.0,9,
27,6,42,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
28,6,30,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
29,6,24,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
30,6,12,0.0,0.0,0.0,,,9.0,9,0.0
31,6,12,0.0,0.0,0.0,,,9.0,9,0.0
32,6,6,0.0,0.0,,,,9.0,9,
33,6,60,0.0,0.0,0.0,0.0,0.0,9.1,10,0.09999999999999999
34,6,12,0.0,0.0,0.0,,,9.5,10,0.5
35,6,30,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
36,6,36,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
37,6,18,0.0,0.0,0.0,0.0,,9.0,9,0.0
38,6,36,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
39,6,144,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
40,6,12,0.0,0.0,0.0,,,9.0,9,0.0
41,6,54,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
42,6,48,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
43,6,12,0.0,0.0,0.0,,,9.0,9,0.0
44,6,12,0.0,0.0,0.0,,,9.0,9,0.0
45,6,24,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
46,6,72,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
47,6,6,0.0,0.0,,,,9.0,9,
48,6,6,0.0,0.0,,,,9.0,9,
49,6,18,0.0,0.0,0.0,0.0,,9.0,9,0.0
50,6,78,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
51,6,30,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
52,6,18,0.0,0.0,0.0,0.0,,9.0,9,0.0
53,6,12,0.0,0.0,0.0,,,9.0,9,0.0
54,6,18,0.0,0.0,0.0,0.0,,9.0,9,0.0
55,6,24,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
56,6,6,0.0,0.0,,,,9.0,9,
57,6,18,0.0,0.0,0.0,0.0,,9.0,9,0.0
58,6,30,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
59,6,12,0.0,0.0,0.0,,,9.0,9,0.0
60,6,18,0.0,0.0,0.0,0.0,,9.0,9,0.0
61,6,6,0.0,0.0,,,,9.0,9,
62,6,6,0.0,0.0,,,,9.0,9,
63,6,6,0.0,0.0,,,,9.0,9,
64,6,24,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
65,6,6,0.0,0.0,,,,9.0,9,
66,6,12,0.0,0.0,0.0,,,9.0,9,0.0
67,6,12,0.0,0.0,0.0,,,9.0,9,0.0
68,6,12,0.0,0.0,0.0,,,9.0,9,0.0
69,6,6,0.0,0.0,,,,9.0,9,
70,6,6,0.0,0.0,,,,9.0,9,
71,6,6,0.0,0.0,,,,9.0,9,
72,6,6,0.0,0.0,,,,9.0,9,
73,6,6,0.0,0.0,,,,9.0,9,
74,6,6,0.0,0.0,,,,9.0,9,
75,6,6,0.0,0.0,,,,9.0,9,
76,6,6,0.0,0.0,,,,9.0,9,
77,6,6,0.0,0.0,,,,9.0,9,
78,6,6,0.0,0.0,,,,9.0,9,
79,6,12,0.0,0.0,0.0,,,9.0,9,0.0
80,6,6,0.0,0.0,,,,9.0,9,
81,6,30,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
82,6,6,0.0,0.0,,,,9.0,9,
83,6,6,0.0,0.0,,,,9.0,9,
84,6,6,0.0,0.0,,,,9.0,9,
85,6,6,0.0,0.0,,,,9.0,9,
86,6,24,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
87,6,78,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
88,6,6,0.0,0.0,,,,9.0,9,
89,6,12,0.0,0.0,0.0,,,9.0,9,0.0
90,6,6,0.0,0.0,,,,9.0,9,
91,6,6,0.0,0.0,,,,9.0,9,
92,6,30,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
93,6,24,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
94,6,6,0.0,0.0,,,,9.0,9,
95,6,12,0.0,0.0,0.0,,,9.0,9,0.0
96,6,6,0.0,0.0,,,,9.0,9,
97,6,6,0.0,0.0,,,,9.0,9,
98,6,6,0.0,0.0,,,,9.0,9,
99,6,6,0.0,0.0,,,,9.0,9,
100,6,6,0.0,0.0,,,,9.0,9,
101,6,12,0.0,0.0,0.0,,,9.0,9,0.0
102,6,6,0.0,0.0,,,,9.0,9,
103,6,18,0.0,0.0,0.0,0.0,,9.0,9,0.0
104,6,6,0.0,0.0,,,,9.0,9,
105,6,24,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
106,6,30,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
107,6,6,0.0,0.0,,,,9.0,9,
108,6,6,0.0,0.0,,,,9.0,9,
109,6,12,0.0,0.0,0.0,,,9.0,9,0.0
110,6,18,0.0,0.0,0.0,0.0,,9.0,9,0.0
111,6,6,0.0,0.0,,,,9.0,9,
112,6,12,0.0,0.0,0.0,,,9.0,9,0.0
113,6,6,0.0,0.0,,,,9.0,9,
114,6,18,0.0,0.0,0.0,0.0,,9.0,9,0.0
115,6,6,0.0,0.0,,,,9.0,9,
116,6,6,0.0,0.0,,,,9.0,9,
117,6,6,0.0,0.0,,,,9.0,9,
118,6,6,0.0,0.0,,,,9.0,9,
119,6,6,0.0,0.0,,,,9.0,9,
120,6,6,0.0,0.0,,,,9.0,9,
121,6,18,0.0,0.0,0.0,0.0,,9.0,9,0.0
122,6,6,0.0,0.0,,,,9.0,9,
123,6,18,0.0,0.0,0.0,0.0,,9.0,9,0.0
124,6,6,0.0,0.0,,,,9.0,9,
125,6,6,0.0,0.0,,,,9.0,9,
126,6,12,0.0,0.0,0.0,,,9.0,9,0.0
127,6,6,0.0,0.0,,,,9.0,9,
128,6,24,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
129,6,42,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
130,6,6,0.0,0.0,,,,9.0,9,
131,6,18,0.0,0.0,0.0,0.0,,9.0,9,0.0
132,6,12,0.0,0.0,0.0,,,9.0,9,0.0
133,6,12,0.0,0.0,0.0,,,9.0,9,0.0
134,6,12,0.0,0.0,0.0,,,9.0,9,0.0
135,6,12,0.0,0.0,0.0,,,9.0,9,0.0
136,6,12,0.0,0.0,0.0,,,9.0,9,0.0
137,6,6,0.0,0.0,,,,9.0,9,
138,6,6,0.0,0.0,,,,9.0,9,
139,6,12,0.0,0.0,0.0,,,9.0,9,0.0
140,6,6,0.0,0.0,,,,9.0,9,
141,6,30,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
142,6,6,0.0,0.0,,,,9.0,9,
143,6,24,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
144,6,6,0.0,0.0,,,,9.0,9,
145,6,18,0.0,0.0,0.0,0.0,,9.0,9,0.0
146,6,6,0.0,0.0,,,,9.0,9,
147,6,6,0.0,0.0,,,,9.0,9,
148,6,6,0.0,0.0,,,,9.0,9,
149,6,60,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
150,6,12,0.0,0.0,0.0,,,9.0,9,0.0
151,6,6,0.0,0.0,,,,9.0,9,
152,6,6,0.0,0.0,,,,9.0,9,
153,6,6,0.0,0.0,,,,9.0,9,
154,6,30,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
155,6,6,0.0,0.0,,,,9.0,9,
156,6,54,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
157,6,12,0.0,0.0,0.0,,,9.0,9,0.0
158,6,6,0.0,0.0,,,,9.0,9,
159,6,12,0.0,0.0,0.0,,,9.0,9,0.0
160,6,6,0.0,0.0,,,,9.0,9,
161,6,6,0.0,0.0,,,,9.0,9,
162,6,18,0.0,0.0,0.0,0.0,,9.0,9,0.0
163,6,30,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0
164,6,6,0.0,0.0,,,,9.0,9,
165,6,18,0.0,0.0,0.0,0.0,,9.0,9,0.0
166,6,6,0.0,0.0,,,,9.0,9,
167,6,6,0.0,0.0,,,,9.0,9,
168,6,6,0.0,0.0,,,,9.0,9,
169,6,12,0.0,0.0,0.0,,,9.0,9,0.0
170,6,6,0.0,0.0,,,,9.0,9,
171,6,6,0.0,0.0,,,,9.0,9,
172,6,6,0.0,0.0,,,,9.0,9,
173,6,6,0.0,0.0,,,,9.0,9,
174,6,12,0.0,0.0,0.0,,,9.0,9,0.0
175,6,6,0.0,0.0,,,,9.0,9,
176,6,6,0.0,0.0,,,,9.0,9,
177,6,6,0.0,0.0,,,,9.0,9,
178,6,6,0.0,0.0,,,,9.0,9,
179,6,6,0.0,0.0,,,,9.0,9,
180,6,6,0.0,0.0,,,,9.0,9,
181,6,6,0.0,0.0,,,,9.0,9,
182,6,6,0.0,0.0,,,,9.0,9,
183,6,12,0.0,0.0,0.0,,,9.0,9,0.0
184,6,6,0.0,0.0,,,,9.0,9,
185,6,6,0.0,0.0,,,,9.0,9,
