step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis
1,270,49713,3.075,-0.12099125364431487,222.3739426900006,12.406535885254506,163.17269077591064
2,21,21,0.0,,,,
3,21,126,0.0,0.0,0.0,0.0,0.0
4,21,231,0.0,0.0,0.0,0.0,0.0
5,21,210,0.0,0.0,0.0,0.0,0.0
6,21,168,0.0,0.0,0.0,0.0,0.0
7,21,147,0.0,0.0,0.0,0.0,0.0
8,21,42,0.0,0.0,0.0,,
9,21,21,0.0,,,,
10,21,42,0.0,0.0,0.0,,
11,21,21,0.0,,,,
12,21,84,0.0,0.0,0.0,0.0,0.0
13,21,168,0.0,0.0,0.0,0.0,0.0
14,21,21,0.0,,,,
15,21,210,0.0,0.0,0.0,0.0,0.0
16,21,147,0.0,0.0,0.0,0.0,0.0
17,21,105,0.0,0.0,0.0,0.0,0.0
18,21,21,0.0,,,,
19,21,21,0.0,,,,
20,21,399,0.0,0.0,0.0,0.0,0.0
21,21,42,0.0,0.0,0.0,,
22,21,231,0.0,0.0,0.0,0.0,0.0
23,21,273,0.0,0.0,0.0,0.0,0.0
24,21,168,0.0,0.0,0.0,0.0,0.0
25,21,105,0.0,0.0,0.0,0.0,0.0
26,21,210,0.0,0.0,0.0,0.0,0.0
27,21,42,0.0,0.0,0.0,,
28,21,231,0.0,0.0,0.0,0.0,0.0
29,21,21,0.0,,,,
30,21,84,0.0,0.0,0.0,0.0,0.0
31,21,42,0.0,0.0,0.0,,
32,21,294,0.0,0.0,0.0,0.0,0.0
33,21,147,0.0,0.0,0.0,0.0,0.0
34,21,42,0.0,0.0,0.0,,
35,21,21,0.0,,,,
36,21,21,0.0,,,,
37,21,42,0.0,0.0,0.0,,
38,21,42,0.0,0.0,0.0,,
39,21,63,0.0,0.0,0.0,0.0,
40,21,126,0.0,0.0,0.0,0.0,0.0
41,21,63,0.0,0.0,0.0,0.0,
42,21,63,0.0,0.0,0.0,0.0,
43,21,21,0.0,,,,
44,21,21,0.0,,,,
45,21,42,0.0,0.0,0.0,,
46,21,21,0.0,,,,
47,21,42,0.0,0.0,0.0,,
48,21,42,0.0,0.0,0.0,,
49,21,42,0.0,0.0,0.0,,
50,21,189,0.0,0.0,0.0,0.0,0.0
51,21,42,0.0,0.0,0.0,,
52,21,42,0.0,0.0,0.0,,
53,22,820,0.07142857142857142,-0.04,0.025641025641025654,6.244997998398392,38.99999999999999
54,21,21,0.0,,,,
55,21,63,0.0,0.0,0.0,0.0,
56,21,63,0.0,0.0,0.0,0.0,
57,21,42,0.0,0.0,0.0,,
58,21,21,0.0,,,,
59,21,21,0.0,,,,
60,21,63,0.0,0.0,0.0,0.0,
61,21,105,0.0,0.0,0.0,0.0,0.0
62,21,21,0.0,,,,
63,21,42,0.0,0.0,0.0,,
64,21,105,0.0,0.0,0.0,0.0,0.0
65,21,63,0.0,0.0,0.0,0.0,
66,21,357,0.0,0.0,0.0,0.0,0.0
67,21,42,0.0,0.0,0.0,,
68,21,126,0.0,0.0,0.0,0.0,0.0
69,21,84,0.0,0.0,0.0,0.0,0.0
70,21,105,0.0,0.0,0.0,0.0,0.0
71,21,105,0.0,0.0,0.0,0.0,0.0
72,21,126,0.0,0.0,0.0,0.0,0.0
73,21,252,0.0,0.0,0.0,0.0,0.0
74,21,21,0.0,,,,
75,21,42,0.0,0.0,0.0,,
76,21,21,0.0,,,,
77,21,21,0.0,,,,
78,21,84,0.0,0.0,0.0,0.0,0.0
79,21,42,0.0,0.0,0.0,,
80,21,21,0.0,,,,
81,21,84,0.0,0.0,0.0,0.0,0.0
82,21,42,0.0,0.0,0.0,,
83,21,315,0.0,0.0,0.0,0.0,0.0
84,21,399,0.0,0.0,0.0,0.0,0.0
85,21,273,0.0,0.0,0.0,0.0,0.0
86,21,21,0.0,,,,
87,21,63,0.0,0.0,0.0,0.0,
88,21,21,0.0,,,,
89,21,168,0.0,0.0,0.0,0.0,0.0
90,21,42,0.0,0.0,0.0,,
91,21,210,0.0,0.0,0.0,0.0,0.0
92,21,21,0.0,,,,
93,21,21,0.0,,,,
94,21,168,0.0,0.0,0.0,0.0,0.0
95,21,357,0.0,0.0,0.0,0.0,0.0
96,21,21,0.0,,,,
97,22,302,0.2,-0.1111111111111111,0.26373626373626374,-0.324536706820786,-2.2405303030302974
98,21,315,0.0,0.0,0.0,0.0,0.0
99,21,21,0.0,,,,
100,21,21,0.0,,,,
101,21,21,0.0,,,,
102,21,42,0.0,0.0,0.0,,
103,21,21,0.0,,,,
104,21,126,0.0,0.0,0.0,0.0,0.0
105,21,42,0.0,0.0,0.0,,
106,21,21,0.0,,,,
107,21,21,0.0,,,,
108,21,21,0.0,,,,
109,21,42,0.0,0.0,0.0,,
110,21,21,0.0,,,,
111,21,21,0.0,,,,
112,21,21,0.0,,,,
113,21,21,0.0,,,,
114,21,21,0.0,,,,
115,21,21,0.0,,,,
116,21,21,0.0,,,,
117,21,21,0.0,,,,
118,21,105,0.0,0.0,0.0,0.0,0.0
119,22,591,0.05555555555555555,-0.1,0.09920634920634919,2.6864551773886567,5.613784615384598
120,21,126,0.0,0.0,0.0,0.0,0.0
121,21,21,0.0,,,,
122,21,126,0.0,0.0,0.0,0.0,0.0
123,21,210,0.0,0.0,0.0,0.0,0.0
124,21,231,0.0,0.0,0.0,0.0,0.0
125,21,21,0.0,,,,
126,21,21,0.0,,,,
127,21,21,0.0,,,,
128,21,21,0.0,,,,
129,21,147,0.0,0.0,0.0,0.0,0.0
130,21,42,0.0,0.0,0.0,,
131,21,21,0.0,,,,
132,21,42,0.0,0.0,0.0,,
133,21,42,0.0,0.0,0.0,,
134,21,42,0.0,0.0,0.0,,
135,21,189,0.0,0.0,0.0,0.0,0.0
136,21,21,0.0,,,,
137,21,84,0.0,0.0,0.0,0.0,0.0
