step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis,mean_temperature,max_temperature,temperature_variance
1,203,989,19.25,-58.5,2269.366666666667,-1.1999788481862128,-0.16944011375654444,33.5,34,0.3
2,83,356,0.0,-6.5,105.19999999999999,-0.31723660201225784,-0.7644139715768619,33.0,33,0.0
3,61,61,0.0,0.0,,,,33.0,33,
4,64,125,0.0,-3.0,4.5,,,33.0,33,0.0
5,59,116,1.0,0.0,2.0,,,33.0,33,0.0
6,138,221,27.5,0.0,1512.5,,,33.0,33,0.0
7,95,159,15.5,0.0,480.5,,,33.0,33,0.0
8,98,98,0.0,0.0,,,,33.0,33,
9,87,87,0.0,0.0,,,,33.0,33,
10,114,114,0.0,0.0,,,,33.0,33,
