step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis
1,22,22,0.0,0.0,,,
2,240,626,62.0,-124.0,7553.0,-0.3559662821098303,-3.3203891143304034
3,8,8,0.0,0.0,,,
4,22,22,0.0,0.0,,,
5,16,16,0.0,0.0,,,
6,38,44,16.0,0.0,512.0,,
7,22,22,0.0,0.0,,,
8,8,8,0.0,0.0,,,
9,13,13,0.0,0.0,,,
10,30,30,0.0,0.0,,,
11,30,39,10.5,0.0,220.5,,
12,31,55,3.5,0.0,24.5,,
13,37,53,0.0,-21.0,220.5,,
14,31,31,0.0,0.0,,,
15,57,105,0.0,-25.5,687.0,-1.1160820590189824,
16,144,239,57.0,-79.0,3410.3333333333335,1.0588873465065411,
17,93,310,17.333333333333332,-2.0,603.6666666666666,-1.8887711083558507,3.5958680631675684
18,57,101,20.5,-29.0,444.33333333333337,1.1222981281439572,
19,26,34,0.0,-18.0,162.0,,
20,12,20,2.0,0.0,8.0,,
21,56,122,19.0,-8.0,401.33333333333337,-1.4265280856693234,
22,36,175,9.666666666666666,-4.142857142857143,96.27777777777777,0.6968780072113875,-0.5356182124711562
23,7,7,0.0,0.0,,,
24,50,638,7.0,-2.75,210.38095238095238,-0.311353077512916,-1.4981995684597111
25,107,244,21.0,-37.0,1516.7,0.9925284307459408,-0.5501373297683134
26,28,35,0.0,-21.0,220.5,,
27,54,70,19.0,0.0,722.0,,
28,30,52,0.0,-8.0,32.0,,
29,71,108,17.0,0.0,578.0,,
30,67,127,22.0,-30.0,505.3333333333333,1.0075382107890494,
31,85,176,31.5,-16.0,1072.3333333333335,-1.2786023862657634,
32,63,108,9.0,0.0,162.0,,
33,62,116,0.0,-8.0,32.0,,
34,36,36,0.0,0.0,,,
35,93,108,39.0,0.0,3042.0,,
36,106,160,26.0,0.0,1352.0,,
37,32,55,0.0,-9.0,40.5,,
38,45,79,19.5,-17.0,382.33333333333337,-0.38077933511118645,
39,10,10,0.0,0.0,,,
40,6,6,0.0,0.0,,,
41,9,9,0.0,0.0,,,
42,9,31,0.75,0.0,1.5833333333333333,-1.1293381149712478,2.2271468144044313
43,12,12,0.0,0.0,,,
44,8,116,1.0,-0.14285714285714285,0.4666666666666667,-0.35849390434844075,-0.5920610002242657
