step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis
1,58,58,0.0,0.0,,,
2,63,119,3.5,0.0,24.5,,
3,67,125,4.5,0.0,40.5,,
4,71,1366,2.2,-0.875,9.347619047619046,-0.7110323117896459,1.8176352884149503
5,62,123,0.5,0.0,0.5,,
6,61,61,0.0,0.0,,,
7,110,1191,5.666666666666667,-3.923076923076923,308.52916666666664,1.0082525569352712,-0.48846190565313075
8,69,195,4.0,-4.0,16.0,0.0,
9,59,59,0.0,0.0,,,
10,96,173,9.5,0.0,180.5,,
11,76,137,0.0,-15.0,112.5,,
12,122,184,0.0,-60.0,1800.0,,
13,94,94,0.0,0.0,,,
14,58,58,0.0,0.0,,,
15,115,115,0.0,0.0,,,
16,114,114,0.0,0.0,,,
17,84,84,0.0,0.0,,,
18,139,139,0.0,0.0,,,
