step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis
1,23,23,0.0,,,,
2,109,195,39.5,-53.0,1621.0,0.9556551879208321,
3,102,126,39.0,,3042.0,,
4,62,87,0.0,-37.0,684.5,,
5,32,32,0.0,,,,
6,22,22,0.0,,,,
7,175,1236,24.166666666666668,-12.083333333333334,3081.0588235294117,0.792976186081544,-0.95039954340288
8,151,1945,22.8,-3.25,765.9040404040402,2.8044814517452306,8.074412932165988
9,21,42,0.0,0.0,0.0,,
10,26,381,0.35714285714285715,-1.3333333333333333,1.6323529411764706,1.5470580551568192,2.868162370865082
11,132,272,55.0,-55.5,3087.3333333333335,0.33178678776558307,-4.113133278258985
12,63,110,8.0,,128.0,,
13,185,286,53.0,-163.0,6842.333333333334,0.8539126534672292,
14,224,1170,12.538461538461538,-50.25,4242.404411764706,1.367544184102662,0.7098874018949561
15,24,46,0.0,-2.0,2.0,,
16,126,185,0.0,-67.0,2244.5,,
17,150,201,63.0,-123.0,5169.0,1.7286586943128515,
18,150,661,57.0,-14.75,2993.6555555555556,0.7264025570689092,-1.4442032382502425
19,161,735,59.5,-12.727272727272727,2389.102564102564,1.4188431622911843,0.6467757611194842
20,137,622,17.666666666666668,-22.6,1404.2727272727273,1.1617077333405812,0.7254532222520655
21,109,171,34.5,-87.0,2109.0,1.4375334316014632,
22,58,82,17.0,,578.0,,
23,37,95,8.0,0.0,85.33333333333333,-1.7320508075688785,
24,26,47,2.5,,12.5,,
25,40,61,0.0,-19.0,180.5,,
26,58,79,18.5,,684.5,,
27,29,29,0.0,,,,
28,29,75,3.5,-5.0,13.0,1.1520696383139377,
29,87,154,10.0,,200.0,,
30,77,107,0.0,-47.0,1104.5,,
31,128,186,45.5,-107.0,3331.0,1.583501086420929,
32,94,336,25.0,-6.0,1026.8,-0.026095287990751736,-2.295902990353273
33,82,132,0.0,-32.0,512.0,,
34,166,355,65.0,-26.8,2618.238095238095,2.5732162142101296,6.714960984931597
35,36,993,0.42424242424242425,-7.0,21.946218487394958,-0.2561547446940958,-1.5724620313016473
36,21,21,0.0,,,,
37,33,346,1.1,-3.0,10.681318681318679,1.6076339040346426,2.4217575849948947
38,73,4043,0.65,-2.3636363636363638,136.49087555814407,0.6171821116123372,0.038211635553875745
39,162,685,46.666666666666664,-10.625,2348.8181818181815,1.127473627880509,0.3047730581741144
40,177,1054,16.0,-22.142857142857142,3045.1833333333334,0.94272942361855,-0.746804851553915
41,98,164,16.0,,512.0,,
42,86,118,0.0,-54.0,1458.0,,
43,116,148,42.0,,3528.0,,
44,144,851,5.0,-20.333333333333332,2054.489010989011,0.6742953118378328,-1.2810609198173508
45,21,21,0.0,,,,
46,22,130,0.0,-0.2,0.26666666666666666,-0.9682458365518647,-1.8749999999999796
47,21,21,0.0,,,,
48,21,21,0.0,,,,
49,24,24,0.0,,,,
50,56,109,17.5,-24.0,320.3333333333333,1.025648964328909,
51,57,84,15.0,,450.0,,
52,101,158,34.5,-76.0,1764.3333333333333,1.6780912574983613,
53,37,61,0.0,-13.0,84.5,,
54,52,100,0.0,-4.0,8.0,,
55,24,24,0.0,,,,
56,121,171,48.5,-95.0,3073.0,1.729514793335912,
57,129,174,52.5,-108.0,3783.0,1.72741621390919,
58,50,83,8.5,,144.5,,
59,79,533,22.0,-4.384615384615385,346.69523809523815,1.320311322578704,0.5105657353387771
60,22,65,0.5,0.0,0.33333333333333337,-1.7320508075688956,
61,30,173,1.5,-6.0,7.904761904761905,0.9744688732498581,1.939962258673245
62,151,669,38.5,-16.0,2766.3222222222225,0.7354197887951017,-1.379094888149297
63,163,680,15.0,-28.0,2460.6666666666665,0.6539524125878747,-0.601760243949399
64,30,30,0.0,,,,
65,25,70,0.0,-2.0,4.333333333333334,-1.2933427807333908,
66,22,22,0.0,,,,
67,22,43,0.5,,0.5,,
68,23,175,0.5,-0.3333333333333333,0.6964285714285714,0.2765283182378207,-1.3917159763313611
69,25,71,0.0,-1.5,2.333333333333333,-0.9352195295828318,
70,158,471,67.5,-26.6,3756.2380952380954,1.0334526664698163,-1.0870980469931313
71,151,427,13.8,-114.0,2742.166666666667,0.6519889511113462,-1.16699749649068
72,141,452,57.0,-23.6,2858.6190476190473,0.6515018317062827,-1.8993913217688774
73,44,69,0.0,-19.0,180.5,,
74,24,69,0.0,-1.5,3.0,-1.7320508075688774,
75,98,153,21.5,,924.5,,
76,104,133,0.0,-75.0,2812.5,,
77,150,187,56.5,,6384.5,,
78,100,171,0.0,-29.0,420.5,,
79,145,190,62.0,-121.0,5004.333333333333,1.7285470983690514,
80,138,409,19.4,-58.0,1956.2857142857144,1.1777319562038864,0.33238721984656916
81,34,34,0.0,,,,
82,27,27,0.0,,,,
83,30,30,0.0,,,,
84,23,23,0.0,,,,
85,22,22,0.0,,,,
86,44,103,4.5,-20.0,100.33333333333334,-0.2981745522010536,
