step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis
1,21,21,0.0,,,,
2,21,21,0.0,,,,
3,21,42,0.0,0.0,0.0,,
4,21,21,0.0,,,,
5,21,63,0.0,0.0,0.0,0.0,
6,21,21,0.0,,,,
7,21,42,0.0,0.0,0.0,,
8,21,84,0.0,0.0,0.0,0.0,0.0
9,21,294,0.0,0.0,0.0,0.0,0.0
10,21,105,0.0,0.0,0.0,0.0,0.0
11,21,21,0.0,,,,
12,21,21,0.0,,,,
13,21,21,0.0,,,,
14,21,63,0.0,0.0,0.0,0.0,
15,21,42,0.0,0.0,0.0,,
16,21,84,0.0,0.0,0.0,0.0,0.0
17,21,189,0.0,0.0,0.0,0.0,0.0
18,27,90,2.0,-6.0,9.0,1.9999999999999998,4.0
19,21,21,0.0,,,,
20,21,21,0.0,,,,
21,21,21,0.0,,,,
22,21,126,0.0,0.0,0.0,0.0,0.0
23,27,70,3.0,-5.0,10.333333333333334,1.5453925256950243,
24,21,21,0.0,,,,
25,30,221,1.8,-1.8,8.100000000000001,2.9106835527750072,8.65874104557231
26,77,737,11.2,-2.6666666666666665,258.15538461538466,2.459898037452809,5.059135905961355
27,21,21,0.0,,,,
28,21,63,0.0,0.0,0.0,0.0,
29,21,21,0.0,,,,
30,27,90,0.0,-2.0,9.0,1.9999999999999998,4.0
31,21,21,0.0,,,,
32,27,27,0.0,,,,
33,21,42,0.0,0.0,0.0,,
34,21,63,0.0,0.0,0.0,0.0,
35,21,147,0.0,0.0,0.0,0.0,0.0
36,21,21,0.0,,,,
37,21,21,0.0,,,,
38,21,42,0.0,0.0,0.0,,
39,21,21,0.0,,,,
40,21,21,0.0,,,,
41,21,63,0.0,0.0,0.0,0.0,
42,21,21,0.0,,,,
43,21,21,0.0,,,,
44,21,42,0.0,0.0,0.0,,
45,21,63,0.0,0.0,0.0,0.0,
46,27,27,0.0,,,,
47,21,168,0.0,0.0,0.0,0.0,0.0
48,21,21,0.0,,,,
49,27,69,3.0,-6.0,12.0,1.7320508075688774,
50,21,21,0.0,,,,
51,27,48,0.0,-6.0,18.0,,
52,21,63,0.0,0.0,0.0,0.0,
53,21,21,0.0,,,,
54,21,21,0.0,,,,
55,22,127,0.0,-0.2,0.1666666666666666,2.4494897427831654,5.999999999999936
56,21,42,0.0,0.0,0.0,,
