step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis,mean_temperature,max_temperature,temperature_variance
1,8,8,0.0,0.0,,,,22.0,22,
2,8,8,0.0,0.0,,,,22.0,22,
3,73,128,9.0,0.0,162.0,,,24.0,24,0.0
4,145,145,0.0,0.0,,,,25.0,25,
5,33,63,0.0,-3.0,4.5,,,25.0,25,0.0
6,16,16,0.0,0.0,,,,25.0,25,
7,12,12,0.0,0.0,,,,25.0,25,
8,162,247,38.5,0.0,2964.5,,,26.0,26,0.0
9,87,164,5.0,0.0,50.0,,,26.0,26,0.0
10,69,69,0.0,0.0,,,,26.0,26,
11,36,36,0.0,0.0,,,,26.0,26,
12,79,98,0.0,-60.0,1800.0,,,26.0,26,0.0
13,137,137,0.0,0.0,,,,26.0,26,
14,56,77,17.5,0.0,612.5,,,26.5,27,0.5
15,11,11,0.0,0.0,,,,27.0,27,
16,66,77,27.5,0.0,1512.5,,,27.0,27,0.0
17,76,76,0.0,0.0,,,,27.0,27,
18,68,68,0.0,0.0,,,,27.0,27,
19,106,144,34.0,0.0,2312.0,,,27.0,27,0.0
20,66,99,0.0,-33.0,544.5,,,27.0,27,0.0
21,83,90,0.0,-76.0,2888.0,,,27.0,27,0.0
22,52,89,7.5,0.0,112.5,,,27.0,27,0.0
23,51,57,0.0,-45.0,1012.5,,,27.0,27,0.0
24,56,56,0.0,0.0,,,,27.0,27,
25,97,111,41.5,0.0,3444.5,,,27.0,27,0.0
26,13,13,0.0,0.0,,,,27.0,27,
27,6,6,0.0,0.0,,,,28.0,28,
28,8,8,0.0,0.0,,,,28.0,28,
29,10,10,0.0,0.0,,,,28.0,28,
30,8,8,0.0,0.0,,,,28.0,28,
31,6,6,0.0,0.0,,,,29.0,29,
32,6,6,0.0,0.0,,,,29.0,29,
