step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis
1,51,477,2.111111111111111,-1.0,31.45454545454545,-0.3600412144813003,0.2149537238130259
2,30,105,0.0,-3.0,14.916666666666666,-1.0024075087289077,0.983864423707125
3,26,47,2.5,,12.5,,
4,25,71,2.0,0.0,5.333333333333334,-1.7320508075688823,
5,22,43,0.0,-1.0,0.5,,
6,30,299,1.0,-2.25,7.537878787878787,0.4519377479158317,-0.7050755283957475
7,30,264,0.8571428571428571,-3.0,8.488888888888887,-0.6307370240051792,-0.21987472931114915
8,74,180,23.5,-25.0,568.6666666666666,0.506163257775715,-3.0197351874427056
9,83,227,20.333333333333332,-31.0,823.3,0.6447752417771828,-2.475992364318058
10,52,109,8.5,-30.0,226.33333333333331,0.3956874492085133,
11,49,116,12.5,-6.0,170.33333333333331,-1.3294040702410477,
12,41,121,6.333333333333333,-20.0,104.91666666666667,0.12213287654788563,-5.207453751574841
13,66,157,22.0,-22.0,456.9166666666667,0.6375889791105853,-2.43974782665995
14,90,180,31.5,-34.0,964.6666666666666,1.6256774786574089,2.567719166361403
15,58,106,17.0,-34.0,385.3333333333333,1.732050807568877,
16,44,70,9.0,,162.0,,
17,81,171,26.0,-29.5,698.9166666666666,1.6010877264257983,2.6170470065943334
18,89,156,25.5,-60.0,1047.0,1.582523205353388,
19,83,199,30.0,-30.5,1014.25,0.12063824747084309,-5.298076722698587
20,40,84,9.0,-18.0,108.0,1.7320508075688774,
21,41,85,9.5,-19.0,120.33333333333333,1.7320508075688785,
22,38,38,0.0,,,,
23,52,86,0.0,-18.0,162.0,,
24,46,75,0.0,-17.0,144.5,,
25,52,81,0.0,-23.0,264.5,,
26,48,75,0.0,-21.0,220.5,,
27,37,68,3.0,,18.0,,
28,37,67,0.0,-7.0,24.5,,
29,23,23,0.0,,,,
30,26,51,0.5,,0.5,,
31,39,39,0.0,,,,
32,24,24,0.0,,,,
33,26,26,0.0,,,,
34,22,22,0.0,,,,
35,31,58,2.0,,8.0,,
36,32,56,0.0,-8.0,32.0,,
37,34,65,0.0,-3.0,4.5,,
