step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis
1,67,67,0.0,0.0,,,
2,69,69,0.0,0.0,,,
3,67,67,0.0,0.0,,,
4,60,60,0.0,0.0,,,
5,62,62,0.0,0.0,,,
6,63,63,0.0,0.0,,,
7,69,132,0.0,-6.0,18.0,,
8,60,60,0.0,0.0,,,
9,57,57,0.0,0.0,,,
10,67,67,0.0,0.0,,,
11,64,64,0.0,0.0,,,
12,61,61,0.0,0.0,,,
13,68,68,0.0,0.0,,,
14,61,61,0.0,0.0,,,
15,60,60,0.0,0.0,,,
16,58,58,0.0,0.0,,,
17,65,65,0.0,0.0,,,
18,63,63,0.0,0.0,,,
19,58,58,0.0,0.0,,,
20,56,56,0.0,0.0,,,
21,58,58,0.0,0.0,,,
22,58,58,0.0,0.0,,,
23,65,65,0.0,0.0,,,
24,58,58,0.0,0.0,,,
25,56,56,0.0,0.0,,,
26,61,61,0.0,0.0,,,
27,58,58,0.0,0.0,,,
28,61,61,0.0,0.0,,,
29,64,125,1.5,0.0,4.5,,
30,83,83,0.0,0.0,,,
31,72,143,0.5,0.0,0.5,,
32,71,71,0.0,0.0,,,
33,63,124,1.0,0.0,2.0,,
34,71,71,0.0,0.0,,,
35,72,128,8.0,0.0,128.0,,
36,67,67,0.0,0.0,,,
37,60,60,0.0,0.0,,,
38,73,73,0.0,0.0,,,
39,60,60,0.0,0.0,,,
