step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis
1,28,1794,0.0196078431372549,-0.3888888888888889,4.617647058823529,-1.63006726111021,0.8239009203463574
2,21,21,0.0,,,,
3,21,63,0.0,0.0,0.0,0.0,
4,21,63,0.0,0.0,0.0,0.0,
5,21,105,0.0,0.0,0.0,0.0,0.0
6,21,126,0.0,0.0,0.0,0.0,0.0
7,21,42,0.0,0.0,0.0,,
8,21,126,0.0,0.0,0.0,0.0,0.0
9,21,21,0.0,,,,
10,21,21,0.0,,,,
11,289,778,33.375,-89.33333333333333,8446.418181818182,1.8441831376509201,2.502046459995296
12,21,42,0.0,0.0,0.0,,
13,21,21,0.0,,,,
14,21,21,0.0,,,,
15,59,391,6.333333333333333,-5.428571428571429,202.7435897435898,1.5866855395156125,1.0195830907874046
16,21,21,0.0,,,,
17,21,21,0.0,,,,
18,22,220,0.0,0.0,0.0,0.0,0.0
19,21,105,0.0,0.0,0.0,0.0,0.0
20,21,42,0.0,0.0,0.0,,
21,21,105,0.0,0.0,0.0,0.0,0.0
22,21,105,0.0,0.0,0.0,0.0,0.0
23,21,21,0.0,,,,
24,21,21,0.0,,,,
25,21,42,0.0,0.0,0.0,,
26,21,42,0.0,0.0,0.0,,
27,22,1043,0.3333333333333333,0.0,0.2016843971631205,-1.0649487263208341,-0.9054180602006556
28,22,424,0.3333333333333333,-0.058823529411764705,0.16842105263157892,1.6244657241348335,0.6985294117647234
29,22,19321,0.3333333333333333,-0.0011376564277588168,0.08534545108243831,-2.7850959457359292,5.769837845419172
30,21,42,0.0,0.0,0.0,,
31,21,168,0.0,0.0,0.0,0.0,0.0
32,21,21,0.0,,,,
33,21,21,0.0,,,,
34,21,21,0.0,,,,
35,21,63,0.0,0.0,0.0,0.0,
36,21,21,0.0,,,,
37,21,21,0.0,,,,
38,1317,2613,277.3333333333333,-1198.0,251932.25,0.7129582575917929,1.0143235442835827
39,21,42,0.0,0.0,0.0,,
40,21,21,0.0,,,,
41,21,21,0.0,,,,
42,581,750,0.0,-412.0,84872.0,,
43,2641,4644,717.0,-1845.0,938217.0,1.3878737079161199,
44,911,2394,51.0,-237.0,14133.0,-0.41281340286538926,
