step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis
1,21,966,0.0,0.0,0.0,0.0,0.0
2,21,21,0.0,,,,
3,21,210,0.0,0.0,0.0,0.0,0.0
4,21,168,0.0,0.0,0.0,0.0,0.0
5,21,126,0.0,0.0,0.0,0.0,0.0
6,21,819,0.0,0.0,0.0,0.0,0.0
7,21,42,0.0,0.0,0.0,,
8,21,21,0.0,,,,
9,21,126,0.0,0.0,0.0,0.0,0.0
10,21,882,0.0,0.0,0.0,0.0,0.0
11,21,84,0.0,0.0,0.0,0.0,0.0
12,21,336,0.0,0.0,0.0,0.0,0.0
13,21,63,0.0,0.0,0.0,0.0,
14,125,1897,3.0588235294117645,-3.466666666666667,609.9799107142857,3.039040059514125,8.139620791346829
15,21,1512,0.0,0.0,0.0,0.0,0.0
16,21,273,0.0,0.0,0.0,0.0,0.0
17,21,21,0.0,,,,
18,21,21,0.0,,,,
19,21,21,0.0,,,,
20,21,21,0.0,,,,
21,21,63,0.0,0.0,0.0,0.0,
22,21,42,0.0,0.0,0.0,,
23,21,63,0.0,0.0,0.0,0.0,
24,21,126,0.0,0.0,0.0,0.0,0.0
25,21,147,0.0,0.0,0.0,0.0,0.0
26,21,84,0.0,0.0,0.0,0.0,0.0
27,21,21,0.0,,,,
28,21,63,0.0,0.0,0.0,0.0,
29,21,21,0.0,,,,
30,21,84,0.0,0.0,0.0,0.0,0.0
31,21,21,0.0,,,,
32,21,21,0.0,,,,
33,21,42,0.0,0.0,0.0,,
34,21,42,0.0,0.0,0.0,,
35,21,21,0.0,,,,
36,89,531,16.25,-13.5,698.8392857142857,-0.7717194801219143,-1.3407693679381207
37,21,21,0.0,,,,
38,21,21,0.0,,,,
39,21,189,0.0,0.0,0.0,0.0,0.0
40,21,21,0.0,,,,
41,21,21,0.0,,,,
42,21,21,0.0,,,,
43,21,21,0.0,,,,
44,21,63,0.0,0.0,0.0,0.0,
45,21,21,0.0,,,,
46,21,21,0.0,,,,
47,21,21,0.0,,,,
48,21,21,0.0,,,,
49,21,21,0.0,,,,
50,21,21,0.0,,,,
51,21,21,0.0,,,,
52,21,63,0.0,0.0,0.0,0.0,
