step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis,mean_temperature,max_temperature,temperature_variance
1,54,1715,0.18518518518518517,-4.222222222222222,30.923015873015874,-5.518975505411982,32.32913078937018,24.0,24,0.0
2,32,103,2.6666666666666665,-13.0,30.916666666666668,-0.22250636768939588,-0.8171693027513598,24.0,24,0.0
3,38,193,3.8,-1.0,49.36666666666667,-1.6886872881375363,2.8998646369658214,24.0,24,0.0
4,71,6103,1.3404255319148937,-0.569620253164557,137.51193650793653,0.36268502750307247,0.9007359610706258,24.0,24,0.0
