step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis
1,107,353,10.0,-25.0,506.25,-1.2482853223593964,0.9760707209266872
2,57,57,0.0,0.0,,,
3,103,103,0.0,0.0,,,
4,94,94,0.0,0.0,,,
5,79,139,0.0,-19.0,180.5,,
6,77,77,0.0,0.0,,,
7,109,109,0.0,0.0,,,
8,113,113,0.0,0.0,,,
9,69,69,0.0,0.0,,,
10,79,79,0.0,0.0,,,
11,64,64,0.0,0.0,,,
12,97,97,0.0,0.0,,,
13,67,128,3.0,0.0,18.0,,
14,124,124,0.0,0.0,,,
15,98,98,0.0,0.0,,,
16,67,123,0.0,-11.0,60.5,,
17,58,58,0.0,0.0,,,
18,59,59,0.0,0.0,,,
19,71,129,6.5,0.0,84.5,,
20,74,74,0.0,0.0,,,
21,77,77,0.0,0.0,,,
22,61,61,0.0,0.0,,,
23,71,71,0.0,0.0,,,
24,69,69,0.0,0.0,,,
25,95,95,0.0,0.0,,,
26,78,78,0.0,0.0,,,
27,89,89,0.0,0.0,,,
28,89,154,12.0,0.0,288.0,,
29,59,59,0.0,0.0,,,
