step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis
1,38,63,14.5,-22.0,229.0,1.324522871654525,
2,75,155,21.666666666666668,-59.0,963.5833333333334,0.3486569584330969,-3.692270169408131
3,39,118,11.5,-6.0,107.06666666666668,1.5856522117611551,3.116725262829764
4,11,11,0.0,0.0,,,
5,24,41,5.0,0.0,80.33333333333333,1.7078263843533399,
6,87,94,40.0,0.0,3200.0,,
7,47,47,0.0,0.0,,,
8,14,14,0.0,0.0,,,
9,22,22,0.0,0.0,,,
10,15,15,0.0,0.0,,,
11,16,16,0.0,0.0,,,
12,18,18,0.0,0.0,,,
13,62,81,21.5,0.0,924.5,,
14,8,8,0.0,0.0,,,
15,34,34,0.0,0.0,,,
16,30,30,0.0,0.0,,,
17,25,25,0.0,0.0,,,
18,21,35,3.5,0.0,24.5,,
19,14,24,2.0,0.0,8.0,,
20,6,6,0.0,0.0,,,
21,56,69,21.5,0.0,924.5,,
22,110,140,40.0,0.0,3200.0,,
23,26,45,3.5,0.0,24.5,,
24,63,74,0.0,-52.0,1352.0,,
