step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis
1,22,785,0.0,-0.027777777777777776,0.17417417417417413,1.4376705296152208,0.06754563894521448
2,21,798,0.0,0.0,0.0,0.0,0.0
3,21,84,0.0,0.0,0.0,0.0,0.0
4,22,2690,0.01639344262295082,-0.014925373134328358,0.015501968503937008,7.904196255921977,61.43613000755858
5,21,21,0.0,,,,
6,21,21,0.0,,,,
7,21,378,0.0,0.0,0.0,0.0,0.0
8,21,210,0.0,0.0,0.0,0.0,0.0
9,21,42,0.0,0.0,0.0,,
10,21,105,0.0,0.0,0.0,0.0,0.0
11,21,105,0.0,0.0,0.0,0.0,0.0
12,21,21,0.0,,,,
13,21,63,0.0,0.0,0.0,0.0,
14,21,609,0.0,0.0,0.0,0.0,0.0
15,21,21,0.0,,,,
16,21,21,0.0,,,,
17,21,336,0.0,0.0,0.0,0.0,0.0
18,21,7161,0.0,0.0,0.0,0.0,0.0
